N,Set Insertion Time (μs),Vector Insert + Sort Time (μs)
25000,5251,1867
50000,7748,2758
75000,11316,4175
100000,15674,5800
125000,20068,7395
150000,24819,8790
175000,29578,10640
200000,34587,12425
225000,39999,13965
250000,44548,15524
275000,49771,17301
300000,55165,19148
325000,60255,21018
350000,66344,22747
375000,72259,24136
400000,78838,26161
425000,89978,27746
450000,90987,29512
475000,116410,30628
500000,106883,33039
525000,115972,34713
550000,123158,36102
575000,167293,38146
600000,165089,40464
625000,198538,42769
650000,197232,43700
675000,291860,46416
700000,240114,49555
725000,313652,50362
750000,330316,51557
775000,310785,53846
800000,261029,54017
825000,253152,72458
850000,273831,59916
875000,344621,60492
900000,370503,63817
925000,408176,64667
950000,318929,67278
975000,372149,68296
1000000,424353,70671
1025000,385357,71033
1050000,405594,74619
1075000,478509,76896
1100000,446280,77416
1125000,494626,81414
1150000,405611,80970
1175000,373499,82617
1200000,506868,86297
1225000,481404,86810
1250000,393235,89820
1275000,548836,91977
1300000,568317,93617
1325000,559487,93513
1350000,726586,98041
1375000,748733,100081
1400000,598043,98776
1425000,707060,104526
1450000,622044,105821
1475000,755179,107703
1500000,756543,107275
1525000,811471,110632
1550000,851173,212764
1575000,714801,112971
1600000,747675,115382
1625000,903558,118318
1650000,844001,121134
1675000,1037074,122649
1700000,855472,121832
1725000,957224,142530
1750000,834646,127407
1775000,1002165,131662
1800000,750343,132231
1825000,973542,131942
1850000,754769,136891
1875000,778184,139771
1900000,954088,139663
1925000,833700,139318
1950000,942427,142819
1975000,1127639,147436
2000000,1061955,148319
2025000,1031583,150636
2050000,884132,150282
2075000,1022702,151933
2100000,1088120,156023
2125000,934712,159386
2150000,948683,180927
2175000,993866,159417
2200000,1136839,163962
2225000,1245275,167134
2250000,1358305,168668
2275000,1328284,168327
2300000,1350491,172456
2325000,1460792,171636
2350000,1425859,176829
2375000,1397283,175782
2400000,1125059,178146
2425000,1218077,181301
2450000,1492536,184716
2475000,1480455,187998
2500000,1409878,185018
