NumberOfStructs,BoostHash
25000,0
50000,0
75000,0
100000,0
125000,0
150000,0
175000,0
200000,0
225000,0
250000,0
275000,0
300000,0
325000,0
350000,0
375000,0
400000,0
425000,0
450000,0
475000,0
500000,0
525000,0
550000,0
575000,0
600000,0
625000,0
650000,0
675000,0
700000,0
725000,0
750000,0
775000,0
800000,0
825000,0
850000,0
875000,0
900000,0
925000,0
950000,0
975000,0
1000000,0
1025000,0
1050000,0
1075000,0
1100000,0
1125000,0
1150000,0
1175000,0
1200000,0
1225000,0
1250000,0
1275000,0
1300000,0
1325000,0
1350000,0
1375000,0
1400000,0
1425000,0
1450000,0
1475000,0
1500000,0
1525000,0
1550000,0
1575000,0
1600000,0
1625000,0
1650000,0
1675000,0
1700000,0
1725000,0
1750000,0
1775000,0
1800000,0
1825000,0
1850000,0
1875000,0
1900000,0
1925000,0
1950000,0
1975000,0
2000000,0
